model,term,coefficient,std_error,p_value,conf_low,conf_high,n,covariance,converged,warning,interpretation_status
full_overdue_logit_supplement,x7,0.1824790319347361,1.0343509066502234,0.8599648705634283,-1.8448114924760532,2.2097695563455253,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,contractor_litigation,0.08614664432746186,0.5871477156796101,0.8833525860927793,-1.0646417320095376,1.2369350206644614,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,contractor_soe,0.058335994043874864,0.4900459556501995,0.90524217266966,-0.9021364298000287,1.0188084178877785,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
severity_fractional_logit,Intercept,0.5398638672430655,1.039589489887004,0.6035481696725602,-1.4976940916418293,2.57742182612796,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,C(completion_stage)[T.2.0],-0.9914528582994931,0.1974678366556376,5.144810921856896e-07,-1.3784827062495812,-0.604423010349405,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,C(completion_stage)[T.3.0],-0.3477410031972581,0.3583363067081248,0.3318312262349601,-1.0500672586982813,0.35458525230376503,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,C(completion_stage)[T.4.0],-0.5890868065656939,0.3893880021021032,0.13031700307208952,-1.3522732666978232,0.1740996535664353,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,C(completion_stage)[T.5.0],-0.6870003856765643,0.4603877188224893,0.13564112579228402,-1.5893437334931964,0.21534296214006787,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,C(gov_intervention)[T.1.0],-1.0489428450822351,0.31902168876142345,0.0010090236476930818,-1.6742138653417715,-0.4236718248226986,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,C(gov_intervention)[T.2.0],-0.5214668773525502,0.38498521159543353,0.17557326278653151,-1.276024026660132,0.2330902719550315,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,C(gov_intervention)[T.3.0],-1.583196462625157,0.36639584413226084,1.5532363517734418e-05,-2.3013191212095396,-0.8650738040407744,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,x1_int_w,-37.56069834986553,163.62392055145608,0.8184375338248355,-358.2576896399627,283.13629294023156,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,x2,-0.009847116332307213,0.2803902886411742,0.9719845956095179,-0.5594019836837988,0.5397077510191844,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,x3,0.3253604398865266,0.18523794150577938,0.07901228562526807,-0.03769925403513824,0.6884201338081914,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,x4,-0.057195451869622445,0.060182492290389786,0.34192582924892023,-0.1751509692586459,0.060760065519401,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,offset_discount,-0.1733168420593756,1.0175678010796307,0.8647548555826211,-2.16771308400307,1.8210793998843187,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,contractor_litigation,0.01564230844422422,0.2341236775652997,0.9467312433091406,-0.44323166751183146,0.4745162844002799,42,cluster:Province,True,,exploratory_only_codebook_review_required
severity_fractional_logit,contractor_soe,0.4009486235899374,0.2592877098177617,0.12202092510129021,-0.10724594928674819,0.909143196466623,42,cluster:Province,True,,exploratory_only_codebook_review_required
