source_index,source_position,treatment,propensity_score,match_id,neighbor_rank,matched,match_weight
76,76,1,0.4989607610910229,44,0,True,1.0
150,150,0,0.4882740751819571,44,1,True,0.2
88,88,0,0.47962721358168176,44,2,True,0.2
63,63,0,0.5204471013038102,44,3,True,0.2
110,110,0,0.4712126703440007,44,4,True,0.2
78,78,0,0.4337313709552265,44,5,True,0.2
113,113,1,0.5158010279692952,45,0,True,1.0
63,63,0,0.5204471013038102,45,1,True,0.2
150,150,0,0.4882740751819571,45,2,True,0.2
88,88,0,0.47962721358168176,45,3,True,0.2
110,110,0,0.4712126703440007,45,4,True,0.2
97,97,0,0.5784147315231964,45,5,True,0.2
60,60,1,0.5787040787692644,46,0,True,1.0
97,97,0,0.5784147315231964,46,1,True,0.2
65,65,0,0.6043000908200407,46,2,True,0.2
63,63,0,0.5204471013038102,46,3,True,0.2
108,108,0,0.64664424257659,46,4,True,0.2
134,134,0,0.6471811179038931,46,5,True,0.2
123,123,1,0.6173302269700506,47,0,True,1.0
65,65,0,0.6043000908200407,47,1,True,0.2
108,108,0,0.64664424257659,47,2,True,0.2
134,134,0,0.6471811179038931,47,3,True,0.2
97,97,0,0.5784147315231964,47,4,True,0.2
173,173,0,0.6595297639772607,47,5,True,0.2
